street,city,County,State,zip,x,y
Adams Visitors Center  3 Hoosac St,Adams,Berkshire,Massachusetts,01220,-73.118003,42.6244919
18th St. and Columbia Rd. NW,Washington,District of Columbia,District of Columbia,20009,-77.042643,38.922637
79-7500 Mamalahoa Highway,Kealakekua,Hawaii,Hawaii,96750,-155.923558,19.525757000000002
Gresham Rd,Brooklyn,Kings,New York,11231-1235,-74.0231,40.6875
One Friendship Plaza,Addison,DuPage,Illinois,60101,-87.9934,41.9321
Courthouse Square,Adel,Dallas,Iowa,50830,-94.0175,41.6144
Hwy 395 & Rancho Drive,Victorville,San Bernardino,California,92392,-117.405,34.5593
115 Toledo Street,Adrian ,Lenawee,Michigan,49221,-84.034589,41.900169
175 Genesee Street,Rochester,Monroe,New York,14611,-77.63607640000001,43.1466026
5401 Village Dr,Concord,Cabarrus,North Carolina,28027,-80.670172,35.414038
9733 Healthway Drive,Berlin,Worcester,Maryland,21811,-75.2113,38.3388
7777 Walnut Grove Rd,Memphis,Shelby,Tennessee,38120,-89.8037477,35.128865999999995
3000 E. Ray Road (Higley & Ray),Gilbert,Maricopa,Arizona,85233,-111.726215,33.321658
897 Richland Avenue East,Aiken,Aiken,South Carolina,29801,-81.7084941,33.55688189999999
17375 Spring Hill Dr,Brooksville,Hernando,Florida,34604,-82.441117,28.481140000000003
1054 Melton Road,Baker,Okaloosa,Florida,32531,-86.70128129999999,30.7986832
City Park,Akron,Plymouth,Iowa,51031,-96.5573,42.8309
22250 Perdido Beach Boulevard,Gulf Shores,Baldwin,Alabama,36542,-87.65585,30.250746000000003
5920 NW 13th Street,Gainesville,Alachua,Florida,32653,-82.352515,29.710665000000002
200 S. Main St.,Burlington,Alamance,North Carolina,27215,-79.4357,36.0943
Buckhorn Ranch Road,Alamo,Lincoln,Nevada,89001,-115.1435,37.33075
919 New York Avenue ,Alamogordo ,Otero,New Mexico,88310,-105.95933840000001,32.8994771
Corner of 6th Street and State Avenue's Municipal Parking Lot,Alamosa,Alamosa,Colorado,81101,-105.86523600000001,37.468359
Corner of W. Broad Ave. & N. Jackson St.,Albany,Dougherty,Georgia,31702,-84.15366,31.57684
4th Avenue & Ellsworth Street,Albany,Linn,Oregon,97321,-123.1061,44.6349
1500 NE Alberta Street,Portland,Multnomah,Oregon,97211,-122.65,45.5591
21724 Highway 5 ,ALBERTA,WILCOX,Alabama,36720,-87.4101,32.2319
211 Market Place,Albion,Cass,Michigan,49224,-84.75156899999999,42.243544
800 Central Ave,Albuquerque ,Bernalillo,New Mexico,87102,-106.656893,35.085972
320 S. State Steet   (US23),Harrisville,Alcona,Michigan,48740,-83.2973,44.6547
Rt. 3  Main Street,Alderson ,Greenbrier,West Virginia,24910,-80.64202399999999,37.725953999999994
1850 White Bear Ave.,Maplewood,Ramsey,Minnesota,55109,-93.0877,44.9609
128 Elm Street,Aledo,Parker,Texas,76008,-97.602554,32.696496
280 NC Hwy 16 South,Taylorsville ,Alexander,North Carolina,28681,-81.178122,35.919748
Route 12,Alexandria Bay,Jefferson,New York,13607,-75.9157,44.3314
2nd and Broadway,Alexandria,Douglas,Minnesota,56308,-95.376059,45.89074
Bandstand Main Street,Alfred,Allegany,New York,14802,-77.789505,42.253557
632 East Alisal Street,Salinas,Monterey,California,93905,-121.634178,36.673319
19051 Sw 147 Ave,Homestead,Miami-Dade,Florida,33187,-80.430378,25.50788
19833 Morris RD ,Harlingen ,Cameron,Texas,78552,-97.704718,26.155226000000003
1508 S. White Station,Memphis,Shelby,Tennessee,38117,-89.890478,35.090458
711 Whaley St,Columbia,Richland,South Carolina,29205,-81.0358,33.9847
705 Allamakee Street,Waukon,Allamakee,Iowa,52172,-91.475223,43.276278999999995
Water Street & Cutler Street,Allegan,Allegan,Michigan,49010,-85.84965799999999,42.529649
HWY 18 N,Sparta,Alleghany,North Carolina,28675,-81.12259300000001,36.503003
4-20 S. Washington St.,Iola,Allen,Kansas,66749,-95.4055011,37.922165
1629 E Kalamazoo,Lansing,Ingham,Michigan,48912,-84.5263803,42.73023870000001
Corner of Bay Street & US Highway 301,Allendale,Allendale,South Carolina,29810,-81.3191,33.0044
1825 Chew Street,Allentown,Lehigh,Pennsylvania,18104,-75.4942,40.6008
Route 9,Allentown,Lehigh,Pennsylvania,18104,-79.7254,40.6218
3rd & Box Butte Ave.,Alliance,Box Butte,Nebraska,69301,-102.87100000000001,42.0971
Corner of E. Main St. and Mechanic Ave.,Alliance,Stark,Ohio,44601,-81.1024,40.9216
10091 McGregor Boulevard,Ft. Myers,Lee,Florida,33919,-81.89128000000001,26.595209999999998
175 North Harvard Street,Allston,Middlesex,Massachusetts,02134,-71.1299,42.3629
500 Cambridge St.,Boston,Suffolk,Massachusetts,02134,-71.13784179999999,42.353384000000005
"City Auditorium on Main Street, Downtown",Alma,Harlan,Nebraska,68920,-99.3625,40.1008
Pine & Downie Streets,Alma,Gratiot,Michigan,48801,-84.656984,43.380269899999995
17675 SW Farmington Rd and SW Kinnaman Rd,Aloha,Washington,Oregon,97007,-122.860524,45.482127
208 N 1st Ave.,Alpena ,Alpena,Michigan,49707,-83.430998,45.061878
"12 Alpha Lane,",Cascade,Valley,Idaho,83611,-115.99799999999999,44.4251
12521 S. Kostner Avenue,Alsip,Cook,Illinois,60803,-87.727804,41.664913
600 W. Palm Street,Altadena,Los Angeles,California,91001,-118.1581301,34.200378799999996
Main Street & Maple Avenue,Altamont,Albany,New York,12009,-74.0325,42.7013
Trade Lot,Altavista,Campbell,Virginia,24517,-79.2838,37.1185
551 Landmarks Blvd.,Alton,Madison,Illinois,62002,-90.1780932,38.8887926
Heritage Plaza,Altoona,Blair,Pennsylvania,16601,-78.2462,40.6787
1116 North Main ST,Altus,Jackson,Oklahoma,73521,-99.3336,34.6491
102 North 2d,Alva,Woods,Oklahoma,73717,-98.6602,36.8083
Jackson Library/ True Value,Jackson,Amador,California,95642,-120.7741018,38.348802299999996
Hwy 88 at Irishtown Rd.,Pine Grove,Amador,California,95665,-120.7741018,38.348802299999996
Eureka St. & Highway 49,Sutter Creek,Amador,California,95685,-120.7741018,38.348802299999996
St. Mary's Church Parking Lot,Ambridge,Beaver,Pennsylvania,15003,-80.225,40.5819
Farmers Market at the Fairgrounds,Amelia Court House ,Amelia,Virginia,23002,-77.9805478,37.3426037
6800 First Coast Hwy,Amelia Island,Nassau,Florida,32034,-81.454531,30.579786
Sooline Park,Amery,Polk,Wisconsin,54001,-92.3624,45.3072
300 & 400 Blocks of  Main Street,"Ames, IA",Story,Iowa,50010,-93.61494300000001,42.025222
Spring Street Parking Lot,Amherst Center,Hampshire,Massachusetts,01002,-72.51942199999999,42.374858
