"city","County","State","zip","x","y"
"Phoenix","Maricopa","Arizona","","-111.983242","33.331331"
"Aiken","Aiken","South Carolina","29801","-81.7084941","33.5568819"
"Brooksville","Hernando","Florida","34604","-82.441117","28.48114"
"Pahoa","Hawaii County","Hawaii","","-154.951","19.4975"
"Baker","Okaloosa","Florida","32531","-86.7012813","30.7986832"
"Akron","Plymouth","Iowa","51031","-96.5573","42.8309"
"Hogansburg","Franklin","New York","","-74.6677","44.9739"
"Gulf Shores","Baldwin","Alabama","36542","-87.65585","30.250746"
"Gainesville","Alachua","Florida","32653","-82.352515","29.710665"
"Burlington","Alamance","North Carolina","27215","-79.4357","36.0943"
"Alameda","Alameda","California","","-122.276762","37.774248"
"Alamo","Lincoln","Nevada","89001","-115.1435","37.33075"
"Alamogordo ","Otero","New Mexico","88310","-105.9593384","32.8994771"
"Alamogordo","Otero","New Mexico","","-105.9606","32.92649"
"Alamosa","Alamosa","Colorado","81101","-105.865236","37.468359"
"Albany","Dougherty","Georgia","31702","-84.15366","31.57684"
"Albany","Linn","Oregon","97321","-123.1061","44.6349"
"Albert Lea","Freeborn","Minnesota","","-93.368932","43.650895"
"Portland","Multnomah","Oregon","97211","-122.65","45.5591"
"ALBERTA","WILCOX","Alabama","36720","-87.4101","32.2319"
"Albion","Cass","Michigan","49224","-84.751569","42.243544"
"Albuquerque ","Bernalillo","New Mexico","87102","-106.656893","35.085972"
"Albuquerque","Bernalillo","New Mexico","","-106.55762","35.1506"
"Albuquerque","Bernalillo","New Mexico","","-106.578","35.0553"
"Harrisville","Alcona","Michigan","48740","-83.2973","44.6547"
"Alderson ","Greenbrier","West Virginia","24910","-80.642024","37.725954"
"Maplewood","Ramsey","Minnesota","55109","-93.0877","44.9609"
"Aledo","Parker","Texas","76008","-97.602554","32.696496"
"Taylorsville ","Alexander","North Carolina","28681","-81.178122","35.919748"
"Alexandria Bay","Jefferson","New York","13607","-75.9157","44.3314"
"Alexandria","Douglas","Minnesota","56308","-95.376059","45.89074"
"Alfred","Allegany","New York","14802","-77.789505","42.253557"
"Algoma","Kewaunee","Wisconsin","","-87.4363","44.6077"
"Algonquin","","Illinois","60102","-88.293","42.165"
"Kailua-Kona","","Hawaii","96740","-155.982","19.6144"
"Salinas","Monterey","California","93905","-121.634178","36.673319"
"Homestead","Miami-Dade","Florida","33187","-80.430378","25.50788"
"Harlingen ","Cameron","Texas","78552","-97.704718","26.155226"
"Memphis","Shelby","Tennessee","38117","-89.890478","35.090458"
"Columbia","Richland","South Carolina","29205","-81.0358","33.9847"
"Columbia","Richland","South Carolina","","-81.0044","33.9874"
"Waukon","Allamakee","Iowa","52172","-91.475223","43.276279"
"Allegan","Allegan","Michigan","49010","-85.849658","42.529649"
"Sparta","Alleghany","North Carolina","28675","-81.122593","36.503003"
"Iola","Allen","Kansas","66749","-95.4055011","37.922165"
"Lansing","Ingham","Michigan","48912","-84.5263803","42.7302387"
