AREA,PERIMETER,CIT0002_,CIT0002_ID,FPL,STATFIPS,PLACFIPS,NAME,STATE,TOTALPOP,HOUSEUNT,LANDAREA,WATRAREA,LAT,LONG,observed
0.0019,0.37197,110.0,4.0,52750,35,52750,North Valley CDP,NM,12507,4819,20553.0,62.0,+35.173229,-106.622655,
0.00122,0.36206,111.0,6.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00561,131.0,22.0,0,,,,,0,0,0.0,0.0,,,
0.00051,0.09895,225.0,4.0,24610,35,24610,Encino village,NM,131,76,5158.0,0.0,+34.650957,-105.457958,
2e-05,0.02016,132.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
3e-05,0.02448,321.0,3.0,0,,,,,0,0,0.0,0.0,,,
0.00019,0.07595,213.0,3.0,25380,35,25380,Estancia town,NM,792,383,1940.0,0.0,+34.760320,-106.060175,
0.0,0.00495,226.0,16.0,0,,,,,0,0,0.0,0.0,,,
0.00292,0.3436,2.0,1.0,21390,35,21390,Dulce CDP,NM,2438,771,28891.0,0.0,+36.933420,-106.996048,
0.00185,0.36382,3.0,1.0,62060,35,62060,Raton city,NM,7372,3502,18364.0,0.0,+36.885738,-104.441509,
0.00067,0.17239,4.0,2.0,13970,35,13970,Chama village,NM,1048,566,6640.0,0.0,+36.893504,-106.582592,
0.00014,0.06291,5.0,1.0,26780,35,26780,Folsom village,NM,71,43,1397.0,0.0,+36.848128,-103.917654,
0.00107,0.23306,6.0,1.0,5780,35,05780,Aztec city,NM,5479,2158,10281.0,195.0,+36.828402,-108.004633,
0.00424,0.36265,7.0,2.0,72770,35,72770,Shiprock CDP,NM,7687,2221,41137.0,882.0,+36.791955,-108.695996,
0.00044,0.1207,8.0,4.0,26360,35,26360,Flora Vista CDP,NM,1021,362,4256.0,78.0,+36.802149,-108.081977,
0.00624,0.70566,9.0,5.0,25800,35,25800,Farmington city,NM,33997,13119,60904.0,1075.0,+36.754663,-108.185560,
0.00031,0.08121,10.0,2.0,20480,35,20480,Des Moines village,NM,168,80,3030.0,0.0,+36.761335,-103.833291,
0.00164,0.20196,11.0,6.0,36230,35,36230,Kirtland CDP,NM,3552,1128,15849.0,429.0,+36.739503,-108.343095,
0.00134,0.26564,12.0,1.0,60870,35,60870,Questa village,NM,1707,770,13225.0,3.0,+36.710922,-105.592658,
0.0013,0.26825,13.0,7.0,7880,35,07880,Bloomfield city,NM,5214,1846,11579.0,136.0,+36.711732,-107.977446,
0.0,0.00814,14.0,2.0,0,,,,,0,0,0.0,0.0,,,
0.00029,0.18221,15.0,3.0,62200,35,62200,Red River town,NM,387,479,1743.0,12.0,+36.707504,-105.406660,
1e-05,0.01111,16.0,8.0,25800,35,25800,Farmington city,NM,33997,13119,60904.0,1075.0,+36.754663,-108.185560,
1e-05,0.01905,17.0,4.0,0,,,,,0,0,0.0,0.0,,,
0.0005,0.09003,18.0,9.0,53485,,,,,0,0,0.0,0.0,,,
0.0,0.00653,19.0,10.0,7880,35,07880,Bloomfield city,NM,5214,1846,11579.0,136.0,+36.711732,-107.977446,
0.0,0.0048,20.0,11.0,0,,,,,0,0,0.0,0.0,,,
0.00016,0.05161,21.0,3.0,30770,35,30770,Grenville village,NM,24,23,1627.0,0.0,+36.592867,-103.612739,
0.00017,0.06991,22.0,2.0,22020,35,22020,Eagle Nest village,NM,189,157,1639.0,0.0,+36.552968,-105.260783,
0.00012,0.04686,23.0,3.0,47080,35,47080,Maxwell village,NM,247,146,1229.0,0.0,+36.540475,-104.542111,
0.0005,0.12465,24.0,4.0,15440,35,15440,Cimarron village,NM,774,400,4954.0,0.0,+36.509860,-104.912588,
0.00407,0.37828,25.0,5.0,76410,35,76410,Taos Pueblo CDP,NM,1187,802,40497.0,0.0,+36.469277,-105.559506,
0.00114,0.18577,26.0,4.0,15720,35,15720,Clayton town,NM,2484,1316,11372.0,0.0,+36.450747,-103.175095,
0.00141,0.19166,27.0,12.0,69620,35,69620,Sanostee CDP,NM,626,185,14037.0,14.0,+36.434753,-108.872714,
0.00138,0.32146,28.0,10.0,76200,35,76200,Taos town,NM,4065,2115,12688.0,0.0,+36.386227,-105.577150,
0.0,0.01048,29.0,8.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.0054,30.0,5.0,3400,35,03400,Angel Fire village,NM,93,616,666.0,0.0,+36.390614,-105.278655,
