function,runtime_seconds,target_stdev,target_variance,target_num_unique,num_rows,target_is_numerical,algo,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,0.746919870377,0.154715038746,0.0239367432141,16,14000,True,DTC,0.597666666667,0.918857142857,,
run_classifier,92.3888349533,0.154715038746,0.0239367432141,16,14000,True,SVC,0.3645,0.352928571429,,
run_classifier,1.75065398216,0.154715038746,0.0239367432141,16,14000,True,RFC,0.635166666667,0.918214285714,,
run_regressor,4.08190083504,0.179918213107,0.0323705634076,16,14000,True,RFR,,,0.446116943791,0.16211415985
run_regressor,50.0661990643,0.179918213107,0.0323705634076,16,14000,True,SVR,,,0.462256043493,0.23054054282
run_regressor,0.0827980041504,0.179918213107,0.0323705634076,16,14000,True,LinR,,,5.20010663855,5.23227863765
run_classifier,14.0422639847,0.179918213107,0.0323705634076,16,14000,True,LogRC,0.315333333333,0.314857142857,,
run_classifier,0.736074209213,0.179918213107,0.0323705634076,16,14000,True,DTC,0.629,0.922714285714,,
run_classifier,83.6945409775,0.179918213107,0.0323705634076,16,14000,True,SVC,0.328166666667,0.327357142857,,
run_classifier,1.74239683151,0.179918213107,0.0323705634076,16,14000,True,RFC,0.6615,0.9215,,
run_regressor,4.43645000458,0.158915684494,0.0252541947781,16,14000,True,RFR,,,0.464338091298,0.155842313988
run_regressor,50.0432779789,0.158915684494,0.0252541947781,16,14000,True,SVR,,,0.466307564039,0.248981793595
run_regressor,0.078085899353,0.158915684494,0.0252541947781,16,14000,True,LinR,,,3.51715582988,3.45488898304
run_classifier,13.5592651367,0.158915684494,0.0252541947781,16,14000,True,LogRC,0.305166666667,0.318928571429,,
run_classifier,0.741735935211,0.158915684494,0.0252541947781,16,14000,True,DTC,0.584833333333,0.911714285714,,
run_classifier,86.0660068989,0.158915684494,0.0252541947781,16,14000,True,SVC,0.353,0.329642857143,,
run_classifier,1.80463910103,0.158915684494,0.0252541947781,16,14000,True,RFC,0.636833333333,0.909714285714,,
run_regressor,4.48018884659,0.165308620524,0.0273269400195,16,14000,True,RFR,,,0.54422420962,0.176550880644
run_regressor,49.4021930695,0.165308620524,0.0273269400195,16,14000,True,SVR,,,0.557780354184,0.272609811888
run_regressor,0.0777409076691,0.165308620524,0.0273269400195,16,14000,True,LinR,,,4.30122410552,4.18358433071
run_classifier,13.959528923,0.165308620524,0.0273269400195,16,14000,True,LogRC,0.381833333333,0.388571428571,,
run_classifier,0.759226083755,0.165308620524,0.0273269400195,16,14000,True,DTC,0.6505,0.928142857143,,
run_classifier,85.7938878536,0.165308620524,0.0273269400195,16,14000,True,SVC,0.352666666667,0.355428571429,,
run_classifier,1.72940206528,0.165308620524,0.0273269400195,16,14000,True,RFC,0.702166666667,0.929071428571,,
run_regressor,4.38961386681,0.175222346151,0.0307028705905,16,14000,True,RFR,,,0.378697051775,0.11652677396
run_regressor,46.9643549919,0.175222346151,0.0307028705905,16,14000,True,SVR,,,0.471172818519,0.218967922097
run_regressor,0.0836460590363,0.175222346151,0.0307028705905,16,14000,True,LinR,,,2.97289535667,2.89308053925
run_classifier,16.4335200787,0.175222346151,0.0307028705905,16,14000,True,LogRC,0.420333333333,0.427785714286,,
run_classifier,0.720340013504,0.175222346151,0.0307028705905,16,14000,True,DTC,0.619833333333,0.921857142857,,
run_classifier,87.4954309464,0.175222346151,0.0307028705905,16,14000,True,SVC,0.3275,0.332928571429,,
run_classifier,1.72598385811,0.175222346151,0.0307028705905,16,14000,True,RFC,0.675,0.927285714286,,
run_regressor,4.33932995796,0.137753400014,0.0189759992154,16,14000,True,RFR,,,0.497576645908,0.16699673997
run_regressor,45.47813797,0.137753400014,0.0189759992154,16,14000,True,SVR,,,0.547804244493,0.279838209678
run_regressor,0.081433057785,0.137753400014,0.0189759992154,16,14000,True,LinR,,,3.23238362318,3.07912946576
run_classifier,12.3030869961,0.137753400014,0.0189759992154,16,14000,True,LogRC,0.366333333333,0.388214285714,,
run_classifier,0.73744392395,0.137753400014,0.0189759992154,16,14000,True,DTC,0.6055,0.918285714286,,
run_classifier,95.0126028061,0.137753400014,0.0189759992154,16,14000,True,SVC,0.3295,0.342857142857,,
run_classifier,1.75811290741,0.137753400014,0.0189759992154,16,14000,True,RFC,0.645666666667,0.915785714286,,
run_regressor,3.99405312538,0.155569960445,0.0242020125927,16,14000,True,RFR,,,0.595309004389,0.189797687535
run_regressor,46.9907970428,0.155569960445,0.0242020125927,16,14000,True,SVR,,,0.762797539117,0.423955702461
run_regressor,0.0774500370026,0.155569960445,0.0242020125927,16,14000,True,LinR,,,1.83606703627,1.79622531881
run_classifier,12.3694131374,0.155569960445,0.0242020125927,16,14000,True,LogRC,0.445,0.442857142857,,
run_classifier,0.711390018463,0.155569960445,0.0242020125927,16,14000,True,DTC,0.687,0.937071428571,,
run_classifier,73.9425349236,0.155569960445,0.0242020125927,16,14000,True,SVC,0.408666666667,0.398714285714,,
run_classifier,1.68569898605,0.155569960445,0.0242020125927,16,14000,True,RFC,0.739666666667,0.940571428571,,
run_regressor,4.28618001938,0.103320686385,0.0106751642351,16,14000,True,RFR,,,0.428934321412,0.152920847261
run_regressor,41.6770679951,0.103320686385,0.0106751642351,16,14000,True,SVR,,,0.446263216876,0.260736909481
run_regressor,0.0822050571442,0.103320686385,0.0106751642351,16,14000,True,LinR,,,1.41518064871,1.39532872611
run_classifier,11.543405056,0.103320686385,0.0106751642351,16,14000,True,LogRC,0.486666666667,0.492142857143,,
run_classifier,0.709547042847,0.103320686385,0.0106751642351,16,14000,True,DTC,0.676333333333,0.934857142857,,
run_classifier,87.0791180134,0.103320686385,0.0106751642351,16,14000,True,SVC,0.395333333333,0.396214285714,,
run_classifier,1.68634796143,0.103320686385,0.0106751642351,16,14000,True,RFC,0.719333333333,0.933214285714,,
run_regressor,3.9728448391,0.171735368266,0.0294930367135,16,14000,True,RFR,,,0.470141482158,0.146717689816
run_regressor,48.8911268711,0.171735368266,0.0294930367135,16,14000,True,SVR,,,0.636027820127,0.367035613571
run_regressor,0.085147857666,0.171735368266,0.0294930367135,16,14000,True,LinR,,,3.33224535438,3.31917446697
run_classifier,14.4023640156,0.171735368266,0.0294930367135,16,14000,True,LogRC,0.344833333333,0.352571428571,,
run_classifier,0.740643978119,0.171735368266,0.0294930367135,16,14000,True,DTC,0.663166666667,0.9295,,
run_classifier,71.3665111065,0.171735368266,0.0294930367135,16,14000,True,SVC,0.407833333333,0.393,,
run_classifier,1.79789113998,0.171735368266,0.0294930367135,16,14000,True,RFC,0.705,0.932428571429,,
run_regressor,4.33367419243,0.114025208838,0.0130017482507,15,14000,True,RFR,,,0.583125574133,0.188468930655
run_regressor,43.9955589771,0.114025208838,0.0130017482507,15,14000,True,SVR,,,0.644430160998,0.324531379661
run_regressor,0.081878900528,0.114025208838,0.0130017482507,15,14000,True,LinR,,,2.14322455618,1.92396534706
run_classifier,10.6760430336,0.114025208838,0.0130017482507,15,14000,True,LogRC,0.423166666667,0.436357142857,,
run_classifier,0.684281826019,0.114025208838,0.0130017482507,15,14000,True,DTC,0.620333333333,0.924071428571,,
run_classifier,91.7560429573,0.114025208838,0.0130017482507,15,14000,True,SVC,0.400333333333,0.409357142857,,
run_classifier,1.65639805794,0.114025208838,0.0130017482507,15,14000,True,RFC,0.6615,0.921071428571,,
