function,runtime_seconds,target_stdev,target_variance,target_num_unique,num_rows,target_is_numerical,algo,test_accuracy,training_accuracy,test_mse,training_mse
run_classifier,0.433896064758,0.155651673793,0.0242274435547,51,2924,True,DTC,0.114924181963,0.824897400821,,
run_classifier,6.12136292458,0.155651673793,0.0242274435547,51,2924,True,SVC,0.0582601755786,0.0666894664843,,
run_classifier,1.31793403625,0.155651673793,0.0242274435547,51,2924,True,RFC,0.118914604948,0.818741450068,,
run_regressor,1.50130391121,0.271964871096,0.0739648911102,1971,2924,True,RFR,,,3271.3090822,1111.55261286
run_regressor,1.33074402809,0.271964871096,0.0739648911102,1971,2924,True,SVR,,,438614.581245,435040.98779
run_regressor,0.0498840808868,0.271964871096,0.0739648911102,1971,2924,True,LinR,,,3968.16848233,3996.52510542
run_classifier,205.447804928,0.271964871096,0.0739648911102,1971,2924,True,LogRC,0.00399042298484,0.0427496580027,,
run_classifier,10.2787258625,0.271964871096,0.0739648911102,1971,2924,True,DTC,0.00718276137271,0.800273597811,,
run_classifier,544.912275076,0.271964871096,0.0739648911102,1971,2924,True,SVC,0.0,0.00239398084815,,
run_classifier,18.3602838516,0.271964871096,0.0739648911102,1971,2924,True,RFC,0.00558659217877,0.800957592339,,
run_regressor,1.2193210125,0.254395478583,0.0647170595235,1359,2924,True,RFR,,,3907.709444,1498.52995896
run_regressor,1.36389493942,0.254395478583,0.0647170595235,1359,2924,True,SVR,,,151323.464693,148596.544191
run_regressor,0.0635859966278,0.254395478583,0.0647170595235,1359,2924,True,LinR,,,4177.03333577,4365.09498865
run_classifier,161.394611835,0.254395478583,0.0647170595235,1359,2924,True,LogRC,0.0023942537909,0.0376196990424,,
run_classifier,8.76767802238,0.254395478583,0.0647170595235,1359,2924,True,DTC,0.0111731843575,0.802325581395,,
run_classifier,297.485191107,0.254395478583,0.0647170595235,1359,2924,True,SVC,0.0,0.00341997264022,,
run_classifier,13.0082569122,0.254395478583,0.0647170595235,1359,2924,True,RFC,0.0103750997606,0.799931600547,,
run_regressor,1.59051704407,0.236854774685,0.056100184291,822,2924,True,RFR,,,2359.78511661,786.457286822
run_regressor,1.33430194855,0.236854774685,0.056100184291,822,2924,True,SVR,,,46095.3038213,43218.537975
run_regressor,0.047315120697,0.236854774685,0.056100184291,822,2924,True,LinR,,,2738.87579969,2666.93376348
run_classifier,95.7746679783,0.236854774685,0.056100184291,822,2924,True,LogRC,0.00319233838787,0.0359097127223,,
run_classifier,4.77168798447,0.236854774685,0.056100184291,822,2924,True,DTC,0.0143655227454,0.801299589603,,
run_classifier,126.643738985,0.236854774685,0.056100184291,822,2924,True,SVC,0.000798084596967,0.00547195622435,,
run_classifier,8.42547106743,0.236854774685,0.056100184291,822,2924,True,RFC,0.0111731843575,0.804035567715,,
run_regressor,1.18671703339,0.248963065981,0.0619826082229,801,2924,True,RFR,,,2487.78331471,547.652064143
