function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse,colums,rows,SFS,dataset
run_regressor,1.861531973,0.15025485,0.02257652,RFR,TRUE,1359,2924,TRUE,Shucked weight,,,0.001798509,0.000591122,9,4177,FALSE,abalone
run_regressor,0.059388876,0.15025485,0.02257652,LinR,TRUE,1359,2924,TRUE,Shucked weight,,,0.001648674,0.001455938,9,4177,FALSE,abalone
run_regressor,1.932291985,0.144067684,0.020755498,RFR,TRUE,822,2924,TRUE,Viscera weight,,,0.000741883,0.000271253,9,4177,FALSE,abalone
run_regressor,0.049438953,0.144067684,0.020755498,LinR,TRUE,822,2924,TRUE,Viscera weight,,,0.000741039,0.000660955,9,4177,FALSE,abalone
run_regressor,1.847097874,0.140366536,0.019702764,RFR,TRUE,801,2924,TRUE,Shell weight,,,0.001156578,0.000302381,9,4177,FALSE,abalone
run_regressor,0.058010101,0.140366536,0.019702764,LinR,TRUE,801,2924,TRUE,Shell weight,,,0.000982217,0.000882467,9,4177,FALSE,abalone
run_classifier,0.945466042,0.11966347,0.014319346,LogRC,FALSE,27,2924,TRUE,Rings,0.245011971,0.246922025,,,9,4177,FALSE,abalone
run_classifier,0.310456991,0.11966347,0.014319346,DTC,FALSE,27,2924,TRUE,Rings,0.19792498,0.838235294,,,9,4177,FALSE,abalone
run_classifier,2.158985138,0.11966347,0.014319346,RFC,FALSE,27,2924,TRUE,Rings,0.228252195,0.840629275,,,9,4177,FALSE,abalone
run_regressor,1.826600075,0.11966347,0.014319346,RFR,FALSE,27,2924,TRUE,Rings,,,4.516754456,1.820696154,9,4177,FALSE,abalone
run_regressor,0.050672054,0.11966347,0.014319346,LinR,FALSE,27,2924,TRUE,Rings,,,4.478860023,5.121018845,9,4177,FALSE,abalone
run_classifier,2136.794179,0.180379593,0.032536798,LogRC,FALSE,71,21114,TRUE,age,0.052608311,0.062091503,,,14,32562,TRUE,adult
run_classifier,43.70437908,0.180379593,0.032536798,DTC,FALSE,71,21114,TRUE,age,0.09504863,0.688074264,,,14,32562,TRUE,adult
run_classifier,147.472651,0.180379593,0.032536798,RFC,FALSE,71,21114,TRUE,age,0.091843501,0.649616368,,,14,32562,TRUE,adult
run_regressor,101.562741,0.180379593,0.032536798,RFR,FALSE,71,21114,TRUE,age,,,103.7313419,104.4719436,14,32562,TRUE,adult
run_regressor,4.004143953,0.180379593,0.032536798,LinR,FALSE,71,21114,TRUE,age,,,146.3954928,150.6860665,14,32562,TRUE,adult
run_classifier,106.6409521,,,LogRC,FALSE,7,21114,FALSE,workclass,0.744805482,0.73633608,,,14,32562,TRUE,adult
run_classifier,9.351648092,,,DTC,FALSE,7,21114,FALSE,workclass,0.752984085,0.744719144,,,14,32562,TRUE,adult
run_classifier,95.82359481,,,RFC,FALSE,7,21114,FALSE,workclass,0.752210433,0.74462442,,,14,32562,TRUE,adult
run_regressor,101.501297,,,RFR,FALSE,7,21114,FALSE,workclass,,,0.864424483,0.851805765,14,32562,TRUE,adult
run_regressor,4.277781963,,,LinR,FALSE,7,21114,FALSE,workclass,,,0.885986782,0.901065627,14,32562,TRUE,adult
run_classifier,319.705379,,,LogRC,FALSE,16,21114,FALSE,education,0.515141468,0.53343753,,,14,32562,TRUE,adult
run_classifier,9.114349842,,,DTC,FALSE,16,21114,FALSE,education,1,1,,,14,32562,TRUE,adult
run_classifier,97.67654014,,,RFC,FALSE,16,21114,FALSE,education,1,1,,,14,32562,TRUE,adult
run_regressor,98.27893209,,,RFR,FALSE,16,21114,FALSE,education,,,0,0,14,32562,TRUE,adult
run_regressor,4.503082037,,,LinR,FALSE,16,21114,FALSE,education,,,12.83836453,12.61088601,14,32562,TRUE,adult
run_classifier,438.5994241,0.168739912,0.028473158,LogRC,FALSE,16,21114,TRUE,education-num,0.610300619,0.621720186,,,14,32562,TRUE,adult
run_classifier,9.334878922,0.168739912,0.028473158,DTC,FALSE,16,21114,TRUE,education-num,1,1,,,14,32562,TRUE,adult
run_classifier,97.45380306,0.168739912,0.028473158,RFC,FALSE,16,21114,TRUE,education-num,1,1,,,14,32562,TRUE,adult
run_regressor,99.32137299,0.168739912,0.028473158,RFR,FALSE,16,21114,TRUE,education-num,,,0,0,14,32562,TRUE,adult
run_regressor,4.468384981,0.168739912,0.028473158,LinR,FALSE,16,21114,TRUE,education-num,,,5.565051903,5.365853254,14,32562,TRUE,adult
run_classifier,128.0072391,,,LogRC,FALSE,7,21114,FALSE,marital-status,0.688992042,0.680401629,,,14,32562,TRUE,adult
run_classifier,9.734833002,,,DTC,FALSE,7,21114,FALSE,marital-status,0.836317418,0.842710997,,,14,32562,TRUE,adult
run_classifier,96.03351307,,,RFC,FALSE,7,21114,FALSE,marital-status,0.83709107,0.842710997,,,14,32562,TRUE,adult
run_regressor,99.80129814,,,RFR,FALSE,7,21114,FALSE,marital-status,,,1.658489148,1.578844313,14,32562,TRUE,adult
