function,runtime_seconds,num_rows,target_variance,target_num_unique,target_stdev,algo,test_accuracy,training_accuracy,test_mse,training_mse
run_regressor,0.0493800640106,1120,0.0462852971849,50,0.215140180312,LinR,,,52.9151220777,58.2863738587
run_classifier,1.97725486755,1120,,50,,LogRC,0.098121085595,0.191071428571,,
run_classifier,0.246829986572,1120,,50,,DTC,0.0396659707724,0.851785714286,,
run_classifier,1.36607408524,1120,,50,,SVC,0.0647181628392,0.0982142857143,,
run_classifier,0.65619301796,1120,,50,,RFC,0.0751565762004,0.864285714286,,
run_regressor,0.737147808075,1120,0.0262663092046,6,0.162068840943,RFR,,,0.474200881466,0.128055555556
run_regressor,0.0454590320587,1120,0.0262663092046,6,0.162068840943,LinR,,,0.443858488471,0.411590198971
run_classifier,0.267143964767,1120,,6,,LogRC,0.611691022965,0.600892857143,,
run_classifier,0.10365986824,1120,,6,,DTC,0.461377870564,0.93125,,
run_classifier,0.678600072861,1120,,6,,SVC,0.390396659708,0.444642857143,,
run_classifier,0.455515146255,1120,,6,,RFC,0.524008350731,0.917857142857,,
